Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Melicope quadrangularis,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope reflexa,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope saint-johnii,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope sandwicensis,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope wailauensis,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope zahlbruckneri,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope peduncularis,Boxfruit alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Diomedia amsterdamensis,Amsterdam Albatross,Indian Ocean--Amsterdam Island,Diomedeidae,Birds,Endangered,N/A,V
Phoebastria nigripes,Black-footed Albatross,N/A,Diomedeidae,Birds,Not Listed,N/A,V
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,"AK, CA, HI, OR, WA; Northern Pacific Ocean,Japan,U.S.S.R; Northern Pacific Ocean,Japan,U.S.S.R, Canada, China, Japan, Mexico, Taiwan, U.S.A. (AK, CA, HI, OR, WA)",Diomedeidae,Birds,Endangered,"1, 7, 8",V
Alnus maritima,Seaside alder,"DE, GA, MD, OK;",Betulaceae,Flowering Plants,Under Review in the Candidate or Petition Process,"2, 4, 5",P
Alethe choloensis,Thyolo alethe,"Mozambique, Malawi",Muscicapidae,Birds,Endangered,N/A,V
Psiguria cookiana,Algodoncillo,"PR, VI;",Cucurbitaceae,Flowering Plants,Not Listed,4,P
Aliciella caespitosa,Wonderland Alice-flower,UT;,Polemoniaceae,Flowering Plants,Not Listed,6,P
Puccinellia nutkaensis,[Unnamed] alkali grass,AK;,Poaceae,Flowering Plants,Not Listed,7,P
Puccinellia howellii,Howell's alkali grass,CA;,Poaceae,Flowering Plants,Not Listed,8,P
Puccinellia parishii,Parish's alkali grass,"AZ, CA, CO, NM;",Poaceae,Flowering Plants,Not Listed,"2, 6, 8",P
Alligator mississippiensis,American alligator,"FL, NC, OK; Southeastern U.S.A.",Alligatoridae,Reptiles,Similarity of Appearance to a Threatened Taxon,"2, 4",V
Alligator sinensis,Chinese alligator,China,Alligatoridae,Reptiles,Endangered,N/A,V
Plagiobothrys strictus,Calistoga allocarya,CA; U.S.A. (CA),Boraginaceae,Flowering Plants,Endangered,8,P
Plagiobothrys glyptocarpus modestus,Cedar Crest allocarya,CA;,Boraginaceae,Flowering Plants,Not Listed,8,P
Plagiobothrys glaber,Glabrous allocarya,CA; Believed to be extinct,Boraginaceae,Flowering Plants,Not Listed,8,P
Plagiobothrys scriptus,Scribe allocarya,CA;,Boraginaceae,Flowering Plants,Not Listed,8,P
Alopecurus aequalis var. sonomensis,Sonoma alopecurus,CA; U.S.A. (CA),Poaceae,Flowering Plants,Endangered,8,P
Heuchera americana hispida,[Unnamed] alumroot,"VA, WV;",Saxifragaceae,Flowering Plants,Not Listed,5,P
Heuchera duranii,Duran's alumroot,"CA, NV;",Saxifragaceae,Flowering Plants,Not Listed,8,P
Heuchera maxima,Island alumroot,CA;,Saxifragaceae,Flowering Plants,Not Listed,8,P
Heuchera brevistaminea,Laguna alumroot,CA;,Saxifragaceae,Flowering Plants,Not Listed,8,P
Heuchera hirsutissima,shaggyhair alumroot,N/A,Saxifragaceae,Flowering Plants,Not Listed,N/A,P
Amaranthus pumilus,Seabeach amaranth,"DE, NC, NJ, NY, SC, VA; U.S.A. (VA, SC, RI, NY, NJ, NC, MD, MA, DE)",Amaranthaceae,Flowering Plants,Threatened,"4, 5",P
Cantinella gelida,Frigid ambersnail,N/A,Succineidae,Snails,Not Listed,N/A,I
Catinella gelida,Frigid Ambersnail,IA;,Succineidae,Snails,Under Review in the Candidate or Petition Process,3,I
Oxyloma haydeni kanabensis,Kanab ambersnail,"AZ, UT; U.S.A. (UT, AZ)",Succineidae,Snails,Endangered,"2, 6",I
Ambrosia linearis,[Unnamed] ambrosia,CO;,Asteraceae,Flowering Plants,Not Listed,6,P
Ambrosia pumila,San Diego ambrosia,"CA; U.S.A. (CA), Mexico",Asteraceae,Flowering Plants,Endangered,8,P
Ambrosia cheiranthifolia,South Texas ambrosia,TX; U.S.A. (TX),Asteraceae,Flowering Plants,Endangered,2,P
Chlorogalum purpureum,purple amole,CA; U.S.A. (FL),Agavaceae,Flowering Plants,Threatened,8,P
Amorpha roemeriana,Texas amorpha,TX;,Fabaceae,Flowering Plants,Not Listed,2,P
Amphianthus pusillus,Little amphianthus,"AL, GA, SC; U.S.A. (SC, GA, AL)",Scrophulariaceae,Flowering Plants,Threatened,4,P
Stygobromus hoffmani,[Unnamed] amphipod,VA;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus smithi,Alabama well amphipod,AL;,Crangonyctidae,Crustaceans,Not Listed,4,I
Stygobromus allegheniensis,Allegheny cave amphipod,"MD, NY, PA;",Crangonyctidae,Crustaceans,Not Listed,5,I
Crangonyx anomalus,Anomalous spring amphipod,"IN, KY, OH;",Crangonyctidae,Crustaceans,Not Listed,"3, 4",I
Crangonyx antennatus,Appalachian Valley cave amphipod,"AL, IL, TN, VA;",Crangonyctidae,Crustaceans,Not Listed,"3, 4, 5",I
Stygobromus arizonensis,Arizona cave amphipod,AZ;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus balconis,Balcones cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus barri,Barr's cave amphipod,MO;,Crangonyctidae,Crustaceans,Not Listed,3,I
Stygobromus mundus,Bath County cave amphipod,VA;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus bifurcatus,Bifurcated cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus biggersi,Bigger's amphipod,VA;,Crangonyctidae,Crustaceans,Not Listed,5,I
Gammarus bousfieldi,Bousfield's amphipod,KY;,Gammaridae,Crustaceans,Not Listed,4,I
Stygobromus bowmani,Bowman's cave amphipod,OK;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus conradi,Burnsville Cove cave amphipod,VA;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus dejectus,Cascade Cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus phreaticus,Cave amphipod,N/A,Crangonyctidae,Crustaceans,Not Listed,N/A,I
Stygobromus exilis,Central Kentucky cave amphipod,"AL, KY, TN;",Crangonyctidae,Crustaceans,Not Listed,4,I
Allocrangonyx hubrichti,Central Missouri cave amphipod,MO;,Gammaridae,Crustaceans,Not Listed,3,I
Stygobromus clantoni,Clanton's cave amphipod,"KS, MO;",Crangonyctidae,Crustaceans,Not Listed,"3, 6",I
Hyalella texana,Clear Creek Amphipod,N/A,Hyalellidae,Crustaceans,Not Listed,N/A,I
Stygobromus cooperi,Cooper's cave amphipod,WV;,Crangonyctidae,Crustaceans,Under Review in the Candidate or Petition Process,5,I
Stygobromus culveri,Culver's cave amphipod,WV;,Crangonyctidae,Crustaceans,Not Listed,5,I
Crangonyx dearolfi,Dearolf's cave amphipod,"MD, PA;",Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus hadenoecus,Devil's Sinkhole amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Gammarus hyalleloides,Diminutive Amphipod,TX;,Gammaridae,Crustaceans,Endangered,2,I
Stygobromus elatus,Elevated Spring amphipod,AR;,Crangonyctidae,Crustaceans,Not Listed,4,I
Stygobromus ephemerus,Ephemeral cave amphipod,VA;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus flagellatus,Ezell's Cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Crangonyx grandimanus,Florida cave amphipod,FL;,Crangonyctidae,Crustaceans,Under Review in the Candidate or Petition Process,4,I
Stygobromus franzi,Franz's amphipod,MD;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus gradyi,Grady's cave amphipod,CA;,Crangonyctidae,Crustaceans,Not Listed,8,I
Stygobromus emarginatus,Greenbrier Cave amphipod,"MD, WV;",Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus harai,Hara's cave amphipod,CA;,Crangonyctidae,Crustaceans,Not Listed,8,I
Stygobromus hayi,Hay's Spring amphipod,"DC, MD; Entire",Crangonyctidae,Crustaceans,Endangered,5,I
Crangonyx hobbsi,Hobb's cave amphipod,FL;,Crangonyctidae,Crustaceans,Under Review in the Candidate or Petition Process,4,I
Gammarus acherondytes,Illinois cave amphipod,IL; U.S.A. (IL),Gammaridae,Crustaceans,Endangered,3,I
Stygobromus iowae,Iowa amphipod,IA;,Crangonyctidae,Crustaceans,Not Listed,3,I
Bactrurus hubrichti,Kansas well amphipod,"KS, MO, OK;",Crangonyctidae,Crustaceans,Not Listed,"2, 3, 6",I
Spelaeorchestia koloana,Kauai cave amphipod,HI; U.S.A. (HI),Talitridae,Crustaceans,Endangered,1,I
Stygobromus kenki,Kenk's amphipod,"DC, MD, VA;",Crangonyctidae,Crustaceans,Proposed Endangered,5,I
Stygobromus longipes,Long-legged cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus mackenziei,MacKenzie's cave amphipod,CA;,Crangonyctidae,Crustaceans,Not Listed,8,I
Stygobromus hubbsi,Malheur Cave amphipod,OR;,Crangonyctidae,Crustaceans,Not Listed,1,I
Crangonyx minor,Minor cave amphipod,"IA, IL, IN, MI;",Crangonyctidae,Crustaceans,Not Listed,3,I
Stygobromus parvus,Minute cave amphipod,WV;,Crangonyctidae,Crustaceans,Under Review in the Candidate or Petition Process,5,I
Stygobromus morrisoni,Morrison's cave amphipod,VA;,Crangonyctidae,Crustaceans,Under Review in the Candidate or Petition Process,5,I
Stygobromus montanus,Mountain cave amphipod,AR;,Crangonyctidae,Crustaceans,Not Listed,4,I
Gammarus desperatus,Noel's Amphipod,NM; U.S.A. (NM),Gammaridae,Crustaceans,Endangered,2,I
Stygobromus nortoni,Norton's cave amphipod,TN;,Crangonyctidae,Crustaceans,Not Listed,4,I
Allocrangonyx pellucidus,Oklahoma cave amphipod,OK;,Gammaridae,Crustaceans,Not Listed,2,I
Stygobromus onondagaensis,Onondaga Cave amphipod,MO;,Crangonyctidae,Crustaceans,Not Listed,3,I
Stygobromus oregonensis,Oregon cave amphipod,OR;,Crangonyctidae,Crustaceans,Not Listed,1,I
Stygobromus ozarkensis,Ozark cave amphipod,"AR, MO, OK;",Crangonyctidae,Crustaceans,Not Listed,"2, 3, 4",I
Crangonyx packardi,Packard's cave amphipod,"IN, KY;",Crangonyctidae,Crustaceans,Not Listed,"3, 4",I
Stygobromus (=Stygonectes) pecki,Peck's cave amphipod,TX; U.S.A. (TX),Crangonyctidae,Crustaceans,Endangered,2,I
Gammarus pecos,Pecos amphipod,TX;,Gammaridae,Crustaceans,Endangered,2,I
Stygobromus heteropodus,Pickle Springs amphipod,MO; Believed to be extinct,Crangonyctidae,Crustaceans,Not Listed,3,I
