Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Microseris nutans siskiyouensis,N/A,"CA, OR;",Asteraceae,Flowering Plants,Not Listed,"1, 8",P
Mimulus hymenophyllus,N/A,OR;,Scrophulariaceae,Flowering Plants,Not Listed,1,P
Mimulus jungermannioides,N/A,WA;,Scrophulariaceae,Flowering Plants,Not Listed,1,P
Mimulus washoensis,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Minuartia marcescens,N/A,VT;,Caryophyllaceae,Flowering Plants,Not Listed,5,P
Minuartia uniflora,N/A,"AL, GA, NC, SC;",Caryophyllaceae,Flowering Plants,Not Listed,4,P
Mitracarpus maxwelliae,N/A,PR; Endemic to Puerto Rico; U.S.A. (PR),Rubiaceae,Flowering Plants,Endangered,4,P
Mitracarpus polycladus,N/A,"PR; Netherlands Antilles (Saba); Puerto Rico and Netherlands Antilles (Saba); U.S.A. (PR), Saba, Anegada Island",Rubiaceae,Flowering Plants,Endangered,4,P
Monardella diaboli,N/A,CA;,Lamiaceae,Flowering Plants,Not Listed,8,P
Montia bostockii,N/A,AK; Canada (Yukon),Portulacaceae,Flowering Plants,Not Listed,7,P
Montipora australiensis,N/A,N/A,Acroporidae,Corals,Threatened,N/A,I
Muhlenbergia pilosa,N/A,TX;,Poaceae,Flowering Plants,Not Listed,2,P
Musineon lineare,N/A,"ID, UT;",Apiaceae,Flowering Plants,Not Listed,"1, 6",P
Myrcia paganii,N/A,PR; Endemic to Puerto Rico; U.S.A. (PR),Myrtaceae,Flowering Plants,Endangered,4,P
Myriophyllum laxum,N/A,"AL, FL, GA, NC, SC;",Haloragaceae,Flowering Plants,Not Listed,4,P
Nama retrorsum,N/A,"AZ, UT;",Hydrophyllaceae,Flowering Plants,Not Listed,"2, 6",P
Nama xylopodum,N/A,"NM, TX;",Hydrophyllaceae,Flowering Plants,Not Listed,2,P
Napaea dioica,N/A,"IA, IL, IN, MN, OH, WI;",Malvaceae,Flowering Plants,Not Listed,3,P
neoallochernes incertus,N/A,N/A,chernetidae,Arachnids,Not Listed,N/A,I
neoleptoneta anopica,N/A,N/A,leptonetidae,Arachnids,Not Listed,N/A,I
neoleptoneta concinna,N/A,N/A,leptonetidae,Arachnids,Not Listed,N/A,I
neoleptoneta devia,N/A,N/A,leptonetidae,Arachnids,Not Listed,N/A,I
neoleptoneta valverde,N/A,N/A,leptonetidae,Arachnids,Not Listed,N/A,I
Neoparrya lithophila,N/A,CO;,Apiaceae,Flowering Plants,Not Listed,6,P
Neotrichia downsi,N/A,N/A,Hydroptilidae,Insects,Not Listed,N/A,I
Neraudia angulata,N/A,HI; U.S.A. (HI),Urticaceae,Flowering Plants,Endangered,1,P
Neraudia kauaiensis,N/A,HI;,Urticaceae,Flowering Plants,Not Listed,1,P
Neraudia ovata,N/A,HI; U.S.A. (HI),Urticaceae,Flowering Plants,Endangered,1,P
Neraudia sericea,N/A,HI; U.S.A. (HI),Urticaceae,Flowering Plants,Endangered,1,P
Nervilia jacksoniae,N/A,"GU, MP;",Orchidaceae,Flowering Plants,Threatened,1,P
Nesogenes rotensis,N/A,MP; Western Pacific Ocean-U.S.A. (Commonwealth of the Northern Mariana Islands),Verbenaceae,Flowering Plants,Endangered,1,P
Nestronia umbellula,N/A,"AL, GA, MS, NC, SC, TN, VA;",Santalaceae,Flowering Plants,Not Listed,"4, 5",P
Neviusia alabamensis,N/A,"AL, AR, GA, MO, MS, TN;",Rosaceae,Flowering Plants,Not Listed,"3, 4",P
Notholaena schaffneri,N/A,TX;,Polypodiaceae,Ferns and Allies,Not Listed,2,P
Nototrichium sandwicense decipiens,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense dubium,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense forbesii,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense helleri,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense kolekolense,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense lanaiense,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense lanceolatum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense latifolium,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense leptopodum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense longespicatum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense macrophyllum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense mauiense,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense niihauense,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense olokeleanum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense pulchelloides,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense pulchellum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense subcordatum,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium sandwicense syringifolium,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nototrichium viride,N/A,HI;,Amaranthaceae,Flowering Plants,Not Listed,1,P
Nuphar luteum ulvaceum,N/A,FL;,Nymphaeaceae,Flowering Plants,Not Listed,4,P
Ochrosia compta,N/A,HI;,Apocynaceae,Flowering Plants,Not Listed,1,P
Oncopodura cruciata,N/A,N/A,Oncopoduridae,Insects,Not Listed,N/A,I
Onosmodium helleri,N/A,TX;,Boraginaceae,Flowering Plants,Not Listed,2,P
Onosmodium molle molle,N/A,"AL, IL, KY, TN;",Boraginaceae,Flowering Plants,Not Listed,"3, 4",P
Operculina turpethum var. turpethum,St. Thomas lidpod,VI;,Convolvulaceae,Flowering Plants,Not Listed,4,P
Ophioglossum nudicaule,N/A,"FL; Cuba,Mexico,Philippines,Africa,South America",Ophioglossaceae,Ferns and Allies,Not Listed,4,P
Opuntia basilaris longiareolata,N/A,AZ;,Cactaceae,Flowering Plants,Not Listed,2,P
Opuntia basilaris woodburyi,N/A,UT;,Cactaceae,Flowering Plants,Not Listed,6,P
Opuntia heacockul,N/A,CO;,Cactaceae,Flowering Plants,Not Listed,6,P
Opuntia phaeacantha flavispina,N/A,AZ;,Cactaceae,Flowering Plants,Not Listed,2,P
Opuntia phaeacantha mojavensis,N/A,"AZ, CA;",Cactaceae,Flowering Plants,Not Listed,"2, 8",P
Opuntia phaeacantha superbospina,N/A,AZ;,Cactaceae,Flowering Plants,Not Listed,2,P
Opuntia spinosissima,N/A,FL;,Cactaceae,Flowering Plants,Not Listed,4,P
Opuntia triacantha,N/A,"FL, PR, VI; Guadeloupe,Lesser Antilles",Cactaceae,Flowering Plants,Not Listed,4,P
Oreoxis trotteri,N/A,UT;,Apiaceae,Flowering Plants,Not Listed,6,P
Osmoxylon mariannense,N/A,MP; Western Pacific Ocean-U.S.A. (Commonwealth of the Northern Mariana Islands),Araliaceae,Flowering Plants,Endangered,1,P
Oxypolis ternata,N/A,"FL, GA, NC, SC;",Apiaceae,Flowering Plants,Not Listed,4,P
Oxytheca watsonii,N/A,"CA, NV;",Polygonaceae,Flowering Plants,Not Listed,8,P
Oxytropis besseyi obnapiformis,N/A,"CO, UT, WY;",Fabaceae,Flowering Plants,Not Listed,6,P
Oxytropis campestris johannensis,N/A,ME;,Fabaceae,Flowering Plants,Not Listed,5,P
Oxytropis campestris wanapum,N/A,WA;,Fabaceae,Flowering Plants,Not Listed,1,P
Oxytropis glaberrima,N/A,AK;,Fabaceae,Flowering Plants,Not Listed,7,P
Oxytropis sordida barnebyana,N/A,AK;,Fabaceae,Flowering Plants,Not Listed,7,P
Packera cardamine,N/A,"AZ, NM;",Asteraceae,Flowering Plants,Not Listed,2,P
Packera hesperia,N/A,OR;,Asteraceae,Flowering Plants,Not Listed,1,P
Panicum stevensianum,N/A,"PR, VI;",Poaceae,Flowering Plants,Not Listed,4,P
Papaver pygmaeum,N/A,"MT; Canada (Alberta,B.C.)",Papaveraceae,Flowering Plants,Not Listed,6,P
Paronychia drummondii parviflora,N/A,TX;,Caryophyllaceae,Flowering Plants,Not Listed,2,P
Paronychia monticola,N/A,TX;,Caryophyllaceae,Flowering Plants,Not Listed,2,P
Paronychia virginica parksii,N/A,TX;,Caryophyllaceae,Flowering Plants,Not Listed,2,P
Parrya nudicaulis,N/A,"AK, MT; Canada,U.S.S.R",Brassicaceae,Flowering Plants,Not Listed,"6, 7",P
Parthenium alpinum,N/A,"CO, WY;",Asteraceae,Flowering Plants,Not Listed,6,P
Passiflora berteroana,N/A,"PR, VI;",Passifloraceae,Flowering Plants,Not Listed,4,P
Passiflora bilobata,N/A,"PR, VI;",Passifloraceae,Flowering Plants,Not Listed,4,P
Passiflora murucuja,N/A,"PR, VI;",Passifloraceae,Flowering Plants,Not Listed,4,P
Pavona diffluens,N/A,N/A,Agariciidae,Corals,Threatened,N/A,I
Paxistima canbyi,N/A,"NC, VA;",Celastraceae,Flowering Plants,Not Listed,"4, 5",P
Pedicularis rainierensis,N/A,WA;,Scrophulariaceae,Flowering Plants,Not Listed,1,P
Pedicularis semibarbata charlestonensis,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Pediomelum aromaticum tuhyi,N/A,UT;,Fabaceae,Flowering Plants,Not Listed,6,P
Pediomelum pariensis,N/A,UT;,Fabaceae,Flowering Plants,Not Listed,6,P
Pelea anisata haupuana,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea clusiaefolia pickeringii,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea elliptica mauiensis,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea grandifolia lianoides,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea grandifolia montana,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea grandifolia ovalifolia,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea parvifolia sessilis,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea peduncularis cordata,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea peduncularis niuensis,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea peduncularis nummularia,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Pelea volcanica kohalae,N/A,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Peniocereus greggii transmontanus,N/A,"AZ, CA, NM, TX;",Cactaceae,Flowering Plants,Not Listed,"2, 8",P
Penstemon ammophilum,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon angustifolius vernalensis,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon arenarius,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon arkansanus,N/A,AR;,Scrophulariaceae,Flowering Plants,Not Listed,4,P
Penstemon atwoodii,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon baccharifolius,N/A,TX;,Scrophulariaceae,Flowering Plants,Not Listed,2,P
Penstemon barrettiae,N/A,"OR, WA;",Scrophulariaceae,Flowering Plants,Not Listed,1,P
Penstemon bicolor bicolor,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon bicolor roseus,N/A,"AZ, NV;",Scrophulariaceae,Flowering Plants,Not Listed,"2, 8",P
Penstemon cobaea purpureus,N/A,"AR, MO, OK;",Scrophulariaceae,Flowering Plants,Not Listed,"2, 3, 4",P
Penstemon crandallii atractus,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon dissectus,N/A,GA;,Scrophulariaceae,Flowering Plants,Not Listed,4,P
Penstemon elegantulus,N/A,"ID, OR;",Scrophulariaceae,Flowering Plants,Not Listed,1,P
Penstemon floribundus,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon flowersii,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon francisci-pennellii,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon goodrichii,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon humilis brevifolius,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon humilis obtusifolius,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon leptanthus,N/A,UT; Possibly extinct,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon moriahensis,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon navajoa,N/A,UT;,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon parviflorus,N/A,CO; Possibly extinct,Scrophulariaceae,Flowering Plants,Not Listed,6,P
Penstemon patricus,N/A,"NV, UT;",Scrophulariaceae,Flowering Plants,Not Listed,"6, 8",P
Penstemon peckii,N/A,OR;,Scrophulariaceae,Flowering Plants,Not Listed,1,P
Penstemon procerus modestus,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon pudicus,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon thompsoniae jaegeri,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon thurberi anestius,N/A,NV;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Penstemon virgatus pseudoputus,N/A,AZ;,Scrophulariaceae,Flowering Plants,Not Listed,2,P
Penstemon washingtonensis,N/A,WA;,Scrophulariaceae,Flowering Plants,Not Listed,1,P
Penstemon yampaensis,N/A,"CO, UT;",Scrophulariaceae,Flowering Plants,Not Listed,6,P
Peperomia cookiana minutilimba,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia degeneri,N/A,HI; Possibly extinct,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia expallescens brevipilosa,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia fauriei,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia helleri knudsenii,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia lilifolia obtusata,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia megalopoda,N/A,"PR, VI; Possibly extinct,not observed since 1929.",Piperaceae,Flowering Plants,Not Listed,4,P
Peperomia membranacea,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia myrtifolia,N/A,"PR, VI; British Virgin Islands,Lesser Antilles",Piperaceae,Flowering Plants,Not Listed,4,P
Peperomia oahuensis st-johnii,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia obtusifolia,N/A,FL;,Piperaceae,Flowering Plants,Not Listed,4,P
Peperomia rigidilimba,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Peperomia rockii,N/A,HI;,Piperaceae,Flowering Plants,Not Listed,1,P
Perityle lemmonii,N/A,"AZ, NM;",Asteraceae,Flowering Plants,Not Listed,2,P
Perityle megalocephala intricata,N/A,"CA, NV;",Asteraceae,Flowering Plants,Not Listed,8,P
Perityle parryi,N/A,TX;,Asteraceae,Flowering Plants,Not Listed,2,P
Perityle specuicola,N/A,UT;,Asteraceae,Flowering Plants,Not Listed,6,P
Perityle staurophylla,N/A,NM;,Asteraceae,Flowering Plants,Not Listed,2,P
Persea borbonia humilis,N/A,"FL, GA;",Lauraceae,Flowering Plants,Not Listed,4,P
Peteria thompsonae,N/A,"AZ, CA, ID, NV, UT;",Fabaceae,Flowering Plants,Not Listed,"1, 2, 6, 8",P
Petrophytum hendersonii,N/A,WA;,Rosaceae,Flowering Plants,Not Listed,1,P
Phacelia constancei,N/A,"AZ, UT;",Hydrophyllaceae,Flowering Plants,Not Listed,"2, 6",P
Phacelia dubia georgiana,N/A,"AL, GA;",Hydrophyllaceae,Flowering Plants,Not Listed,4,P
Phacelia glaberrima,N/A,NV;,Hydrophyllaceae,Flowering Plants,Not Listed,8,P
Phacelia incana,N/A,NV;,Hydrophyllaceae,Flowering Plants,Not Listed,8,P
Phacelia inconspicua,N/A,"ID, NV;",Hydrophyllaceae,Flowering Plants,Not Listed,"1, 8",P
Phacelia integrifolia texana,N/A,"NM, TX;",Hydrophyllaceae,Flowering Plants,Not Listed,2,P
Phacelia peckii,N/A,OR;,Hydrophyllaceae,Flowering Plants,Not Listed,1,P
Phacelia verna,N/A,OR;,Hydrophyllaceae,Flowering Plants,Not Listed,1,P
Pheidole elecebra,N/A,N/A,Formicidae,Insects,Not Listed,N/A,I
Phialanthus myrtilloides,N/A,"PR, VI;",Rubiaceae,Flowering Plants,Not Listed,4,P
Philadelphus mearnsii,N/A,"NM, TX;",Saxifragaceae,Flowering Plants,Not Listed,2,P
Philadelphus texensis texensis,N/A,TX;,Saxifragaceae,Flowering Plants,Not Listed,2,P
philomycus bisdodus,grayfoot mantleslug,N/A,philomycidea,Snails,Not Listed,N/A,I
Phlox buckleyi,N/A,"VA, WV;",Polemoniaceae,Flowering Plants,Not Listed,5,P
Phlox peckii,N/A,OR;,Polemoniaceae,Flowering Plants,Not Listed,1,P
Phyllanthus liebmannianus platylepis,N/A,FL;,Euphorbiaceae,Flowering Plants,Not Listed,4,P
Phyllanthus pentaphyllus floridanus,N/A,FL;,Euphorbiaceae,Flowering Plants,Not Listed,4,P
Phyllanthus saffordii,N/A,GU;,Phyllanthaceae,Flowering Plants,Endangered,1,P
Phyllanthus sandwicensis degeneri,N/A,HI;,Euphorbiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia ambigua,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia bracteata,N/A,HI;,Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia brevidens,N/A,"HI; ; Currently, there is one known occurrence of Phyllostegia brevidens in Kipahulu Valley on the island of Maui (PEPP 2009, p. 90; Wagner et al. 2012, p. 46; PEPP 2014, in litt.).",Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia brevidens ambigua,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia brevidens degeneri,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia brevidens heterodoxa,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia brevidens hirsutula,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia brevidens pubescens,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia floribunda,N/A,HI;,Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia glabra var. lanaiensis,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia haliakalae,N/A,HI;,Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia helleri,N/A,"HI; ; This species is currently known from fewer than 10 individuals scattered in Wainiha Valley, which lies within the Wainiha Preserve, on the island of Kauai (PEPP 2014, in litt.).",Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia hillebrandii,N/A,HI; Believed to be extinct,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia hirsuta,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia hispida,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia imminuta,N/A,"HI; Possibly extinct,last observed in 1980.",Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia kaalaensis,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia knudsenii,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia mannii,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia mollis,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia mollis fagerlindii,N/A,HI;,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia parviflora,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia pilosa,N/A,HI;,Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia renovans,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia rockii,N/A,HI; Believed to be extinct,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia stachyoides,N/A,"HI; ; Currently, Phyllostegia stachyoides is known from four occurrences: two on Molokai (Puu Alii Natural Area Reserve and upper Hanalilolilo (Kamakou Preserve)); one occurrence in Ukumehame (State (West Maui Forest Reserve) and Private land (West Maui Watershed Partnership)) on Maui; and one occurrence on Hawaii Island (Plant Extinction Prevention Program (PEPP) 2012, p. 132; PEPP 2014, in litt.).",Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia variabilis,N/A,HI; Believed to be extinct,Lamiaceae,Flowering Plants,Not Listed,1,P
Phyllostegia velutina,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia waimeae,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia warshaueri,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Phyllostegia wawrana,N/A,HI; U.S.A. (HI),Lamiaceae,Flowering Plants,Endangered,1,P
Physalis viscosa elliotii,N/A,FL;,Solanaceae,Flowering Plants,Not Listed,4,P
Physaria acutifolia purpurea,N/A,UT;,Brassicaceae,Flowering Plants,Not Listed,6,P
Physaria bellii,Bell's Twinpod,CO;,Brassicaceae,Flowering Plants,Not Listed,6,P
Physaria didymocarpa lyrata,N/A,ID;,Brassicaceae,Flowering Plants,Not Listed,1,P
Physaria dornii,N/A,WY;,Brassicaceae,Flowering Plants,Not Listed,6,P
Physaria eburniflora,N/A,WY;,Brassicaceae,Flowering Plants,Not Listed,6,P
Physaria geyeri purpurea,N/A,ID;,Brassicaceae,Flowering Plants,Not Listed,1,P
Physostegia intermedia,N/A,"OK, TX;",Lamiaceae,Flowering Plants,Not Listed,2,P
Physostegia leptophylla,N/A,"FL, GA, NC, SC, VA;",Lamiaceae,Flowering Plants,Not Listed,"4, 5",P
Physostegia longisepala,N/A,"LA, TX;",Lamiaceae,Flowering Plants,Not Listed,"2, 4",P
Pieris phillyreifolia,N/A,"AL, FL, GA, MS, SC;",Ericaceae,Flowering Plants,Not Listed,4,P
Pilea leptophylla,N/A,"PR, VI;",Urticaceae,Flowering Plants,Not Listed,4,P
Pilea multicaulis,N/A,"PR, VI;",Urticaceae,Flowering Plants,Not Listed,4,P
Pilea richardii,N/A,"PR, VI;",Urticaceae,Flowering Plants,Not Listed,4,P
Pilea yunquensis,N/A,"PR, VI;",Urticaceae,Flowering Plants,Not Listed,4,P
Pinckneya bracteata,N/A,"FL, GA, SC;",Rubiaceae,Flowering Plants,Not Listed,4,P
Pisonia floridana,N/A,FL; Believed to be extinct,Nyctaginaceae,Flowering Plants,Not Listed,4,P
Pisonia wagneriana,N/A,HI;,Nyctaginaceae,Flowering Plants,Not Listed,1,P
Pittosporum acuminatum leptopodum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum acuminatum magnifolium,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum acuminatum waimeanum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum argentifolium argentifolium,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum argentifolium sessile,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum cauliflorum cauliflorum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum cauliflorum cladanthoides,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum cauliflorum pedicellatum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum cladanthum gracilipes,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum confertiflorum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum confertiflorum longipes,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum confertiflorum microphyllum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum glabrum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum glabrum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum glabrum glomeratum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum glabrum intermedium,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum glabrum tinifolium,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum halophilum,N/A,HI;,Pittosporaceae,Flowering Plants,Endangered,1,P
Pittosporum hawaiiense,N/A,HI;,Pittosporaceae,Flowering Plants,Endangered,1,P
Pittosporum hosmeri,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum insigne micranthum,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum kauaiense repens,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum terminalioides lanaiense,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum terminalioides macropus,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pittosporum terminalioides mauiense,N/A,HI;,Pittosporaceae,Flowering Plants,Not Listed,1,P
Pityopsis flexuosa,N/A,FL;,Asteraceae,Flowering Plants,Not Listed,4,P
Plagiobothrys distantiflorus,N/A,CA;,Boraginaceae,Flowering Plants,Not Listed,8,P
Plagiochila columbiana,N/A,"DC, NC, VA;",Plagiochilaceae,Flowering Plants,Not Listed,"4, 5",P
Plagiochila echinata,N/A,NC;,Plagiochilaceae,Flowering Plants,Not Listed,4,P
Plagiochila virginica euryphylla,N/A,NC;,Plagiochilaceae,Flowering Plants,Not Listed,4,P
Platanthera holochila,N/A,HI; U.S.A. (HI),Orchidaceae,Flowering Plants,Endangered,1,P
Platanthera integra,N/A,FL;,Orchidaceae,Flowering Plants,Not Listed,4,P
Platanthera zothecina,N/A,"CO, UT;",Orchidaceae,Flowering Plants,Not Listed,6,P
Platydesma cornuta cornuta,N/A,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Platydesma cornuta decurrens,N/A,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Platydesma remyi,N/A,HI;,Rutaceae,Flowering Plants,Endangered,1,P
Plummera ambigens,N/A,AZ;,Asteraceae,Flowering Plants,Not Listed,2,P
Poa curtifolia,N/A,WA;,Poaceae,Flowering Plants,Not Listed,1,P
Poa laxiflora,N/A,"AK, OR, WA; Canada (B.C.)",Poaceae,Flowering Plants,Not Listed,"1, 7",P
Poa macrocalyx,N/A,AK;,Poaceae,Flowering Plants,Not Listed,7,P
Poa marcida,N/A,"OR, WA; Canada (B.C.)",Poaceae,Flowering Plants,Not Listed,1,P
Poa palustris,N/A,AK;,Poaceae,Flowering Plants,Not Listed,7,P
